Distance,Time_sec,SteerAngle_[deg],SteerVelo_[deg/s],AccelPedalPosition_[-],AccelPedalSpeed
1.62006,0.108004,-92.64408,126.885048,12.941177,0
1.64002,0.109334667,-91.329249,131.483083,12.941177,0
1.67004,0.111336,-89.962371,136.687807,12.941177,0.0001
1.69,0.112666667,-88.541993,142.037784,12.941178,0
1.71002,0.114001333,-87.071397,147.059621,12.941178,0
1.74005,0.116003333,-85.557394,151.400296,12.941178,-0.0001
1.76001,0.117334,-84.008241,154.91535,12.941177,-1.00E-04
1.78003,0.118668667,-82.431446,157.679515,12.941176,-0.0001
1.81006,0.120670667,-80.832315,159.913112,12.941175,0
1.83002,0.122001333,-79.213775,161.853928,12.941175,0
1.86005,0.124003333,-77.577463,163.631208,12.941175,0.0001
1.88001,0.125334,-75.925453,165.201011,12.941176,0.0003
1.91003,0.127335333,-74.261684,166.376872,12.941179,0.0003
1.93005,0.12867,-72.592229,166.945508,12.941182,0.0001
1.96002,0.130668,-70.924091,166.81378,12.941183,0
1.98004,0.132002667,-69.262964,166.112718,12.941183,-0.0004
2,0.133333333,-67.610965,165.199907,12.941179,-0.0006
2.03003,0.135335333,-65.965497,164.546845,12.941173,-0.0007
2.05005,0.13667,-64.319984,164.551265,12.941166,-0.0005
2.08002,0.138668,-62.666478,165.350657,12.941161,0
2.11005,0.14067,-60.999307,166.717069,12.941161,0.0007
2.13001,0.142000667,-59.318464,168.084293,12.941168,0.0015
2.16003,0.144002,-57.631386,168.707792,12.941183,0.0019
2.18005,0.145336667,-55.952357,167.902853,12.941202,0.0015
2.21002,0.147334667,-54.299652,165.270526,12.941217,0.0003
2.23004,0.148669333,-52.691393,160.825915,12.94122,-0.0015
2.26001,0.150667333,-51.141481,154.99116,12.941205,-0.0035
2.28003,0.152002,-49.656714,148.476792,12.94117,-0.0047
2.31006,0.154004,-48.235607,142.110701,12.941123,-0.0044
2.34003,0.156002,-46.868909,136.6698,12.941079,-0.0016
2.36005,0.157336667,-45.541465,132.744333,12.941063,0.0029
2.39002,0.159334667,-44.235012,130.645367,12.941092,0.0082
2.42004,0.161336,-42.931384,130.362761,12.941174,0.012
2.44,0.162666667,-41.615527,131.58565,12.941294,0.0118
2.47003,0.164668667,-40.277574,133.795342,12.941412,0.0061
2.5,0.166666667,-38.913356,136.421757,12.941473,-0.005
2.52002,0.168001333,-37.523123,139.023306,12.941423,-0.0187
2.55005,0.170003333,-36.108871,141.425255,12.941236,-0.0297
2.58002,0.172001333,-34.671318,143.755277,12.940939,-0.0319
2.60004,0.173336,-33.207771,146.354717,12.94062,-0.02
2.63001,0.175334,-31.711753,149.60181,12.94042,0.0064
2.66003,0.177335333,-30.174506,153.724726,12.940484,0.0416
2.69,0.179333333,-28.587683,158.682244,12.9409,0.073
2.71002,0.180668,-26.946168,164.151507,12.94163,0.0842
2.74005,0.18267,-25.250039,169.6129,12.942472,0.0611
2.77002,0.184668,-23.505151,174.488756,12.943083,-0.0006
2.80005,0.18667,-21.722311,178.284075,12.943077,-0.0893
2.83002,0.188668,-19.915442,180.686911,12.942184,-0.1754
2.85004,0.190002667,-18.099401,181.604106,12.94043,-0.2176
2.88001,0.192000667,-16.288114,181.128692,12.938254,-0.1765
2.91003,0.194002,-14.493579,179.453466,12.936489,-0.0343
2.94,0.196,-12.726013,176.756597,12.936146,0.1865
2.97003,0.198002,-10.995124,173.088849,12.938011,0.417
3,0.2,-9.312212,168.291243,12.942181,0.5509
3.03003,0.202002,-7.692518,161.969389,12.94769,0.4794
3.06006,0.204004,-6.157065,153.545283,12.952484,0.1402
3.08002,0.205334667,-4.733105,142.39604,12.953886,-0.4298
3.11005,0.207336667,-3.452413,128.069152,12.949588,-1.0616
3.14002,0.209334667,-2.347058,110.535519,12.938972,-1.4629
3.17004,0.211336,-1.442958,90.40998,12.924343,-1.2773
3.20001,0.213334,-0.752474,69.048448,12.91157,-0.1906
3.23004,0.215336,-0.268064,48.440985,12.909664,1.9497
3.26001,0.217334,0.040675,30.873952,12.929161,5.0432
3.29004,0.219336,0.224902,18.422704,12.979593,8.7187
3.32001,0.221334,0.349137,12.423441,13.06678,12.4073
3.35004,0.223336,0.480248,13.111094,13.190853,15.4923
3.38001,0.225334,0.675932,19.568421,13.345776,17.4858
3.41003,0.227335333,0.976117,30.018533,13.520634,18.1725
3.44,0.229333333,1.399694,42.357634,13.702359,17.6628
3.47003,0.231335333,1.947002,54.730844,13.878987,16.3301
3.5,0.233333333,2.606466,65.946363,14.042288,14.6522
3.53003,0.235335333,3.362498,75.603238,14.18881,13.0264
3.57001,0.238000667,4.201839,83.934115,14.319074,11.6497
3.60004,0.240002667,5.116594,91.475443,14.435571,10.5196
3.63001,0.242000667,6.103851,98.725741,14.540767,9.5364
